name,date,time,time_since_start,vicon_sequence,vicon_time_stamp,vicon_frame_id,vicon_child_frame_id,vicon_translation_x,vicon_translation_y,vicon_translation_z,vicon_rotation_x,vicon_rotation_y,vicon_rotation_z,vicon_rotation_w,int_imu_time_stamp,int_imu_acc_x,int_imu_acc_y,int_imu_acc_z,int_imu_gyro_x,int_imu_gyro_y,int_imu_gyro_z,int_imu_mag_x,int_imu_mag_y,int_imu_mag_z,ext_imu_time_stamp,ext_imu_acc_x,ext_imu_acc_y,ext_imu_acc_z,ext_imu_gyro_x,ext_imu_gyro_y,ext_imu_gyro_z,ext_imu_mag_x,ext_imu_mag_y,ext_imu_mag_z,dji_imu_sequence,dji_imu_time_stamp,dji_imu_frame_id,dji_imu_orientation_x,dji_imu_orientation_y,dji_imu_orientation_z,dji_imu_ang_vel_x,dji_imu_ang_vel_y,dji_imu_ang_vel_z,dji_imu_lin_acc_x,dji_imu_lin_acc_y,dji_imu_lin_acc_z,rc_sequence,rc_time_stamp,rc_frame_id,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_mode,rc_landing_gear
/home/wc18ny/Desktop/VibrationTest/data.csv,20201016,133748.912723,2.3126602172851562e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14885.0,-0.0,0.0,-1.01,-1.4,-1.65,-0.12,-10.95,47.11,-54.31,14894.0,-0.01,0.01,-1.0,-1.46,-1.71,-0.3,-11.85,46.21,-54.46,1538,1602848268.905599,1234,0.48425271342553355,-9.77666877154434,2.0255961750895777,0.3847789094860605,1.998175196223237,2.276995769940917,0.43193727739724874,1.254759261755685,2.7434711410077846,1537,1602848268.905599,4321,0.9388746619224548,1.5664492845535278,2.373696804046631,3.923619508743286,4.509446620941162,5.407883167266846
,,133748.915033,0.0023314952850341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14904.0,-0.01,0.0,-1.01,-1.52,-1.71,0.0,-10.8,47.86,-56.11,14913.0,-0.0,-0.0,-1.02,-1.4,-1.65,-0.24,-11.85,47.26,-54.76,1538,1602848268.905599,1234,0.48425271342553355,-9.77666877154434,2.0255961750895777,0.3847789094860605,1.998175196223237,2.276995769940917,0.43193727739724874,1.254759261755685,2.7434711410077846,1537,1602848268.905599,4321,0.9388746619224548,1.5664492845535278,2.373696804046631,3.923619508743286,4.509446620941162,5.407883167266846
,,133748.93532,0.022619962692260742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14922.0,-0.01,0.01,-1.01,-1.34,-1.77,-0.18,-12.75,47.11,-54.91,14932.0,-0.0,0.0,-1.02,-1.4,-1.65,-0.18,-11.1,48.61,-54.16,1540,1602848268.925544,1234,0.6272327302453862,-9.410102390443972,2.2373278119292554,0.14100966390710834,1.16135426547753,2.2923853735904607,0.8673108660980338,1.4255997728636416,2.997853875086287,1539,1602848268.925544,4321,0.6286277770996094,1.9800797700881958,2.288259267807007,3.2210257053375244,4.768172264099121,5.060965538024902
,,133748.958343,0.0456540584564209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14941.0,-0.01,0.01,-1.02,-1.46,-1.59,-0.18,-10.95,47.41,-54.91,14951.0,-0.01,0.0,-1.01,-1.34,-1.65,-0.24,-12.0,46.36,-54.91,1542,1602848268.945515,1234,0.33006744446680325,-9.74773436333151,2.410713941316821,0.519583626635454,1.8773590736996213,2.0180865263925245,0.07778962112063348,1.346679421497638,2.460633121804903,1541,1602848268.945515,4321,0.5846410393714905,1.7175114154815674,2.8869354724884033,3.680190086364746,4.047360420227051,5.125879287719727
,,133748.974738,0.062032461166381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14960.0,0.0,0.01,-1.0,-1.4,-1.71,-0.24,-11.25,47.41,-53.86,14970.0,-0.0,0.02,-1.0,-1.34,-1.77,-0.3,-10.8,46.51,-56.11,1544,1602848268.965559,1234,0.28872648376634213,-9.63788432456608,2.429231084575227,0.6359346732027943,1.7926600754442514,2.772952943573987,0.5602051839889528,1.2735984706179324,2.5690197033744346,1543,1602848268.965559,4321,0.7229518890380859,1.3270263671875,2.0397751331329346,3.4210660457611084,4.996980667114258,5.32440710067749
,,133748.996972,0.08426809310913086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14979.0,-0.0,0.01,-1.0,-1.34,-1.77,-0.18,-12.0,47.71,-54.31,14989.0,-0.0,0.0,-1.01,-1.4,-1.77,-0.12,-12.0,47.71,-54.31,1546,1602848268.985522,1234,0.5233919564295099,-9.76136158329564,2.549960667717402,0.6796661692586831,1.9256850787245905,2.175617686129226,0.7451507076558402,1.6429482131727242,2.2434975597739943,1545,1602848268.985522,4321,0.4962466061115265,1.041022539138794,2.0294382572174072,3.1997129917144775,4.603201866149902,5.747043609619141
,,133749.019697,0.1070246696472168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15048.0,-0.0,0.01,-1.01,-1.4,-1.71,-0.24,-9.9,46.66,-54.31,15058.0,-0.01,0.01,-1.01,-1.46,-1.77,-0.12,-10.8,47.56,-54.16,1548,1602848269.5588,1234,0.18108650801500126,-9.306401419566924,2.428680867555147,0.0665108215349991,1.0341623981716008,2.329399049342875,0.7403760476267954,1.969127013752181,2.526422158397611,1547,1602848269.5588,4321,0.626168429851532,1.1762645244598389,2.857548475265503,3.1707065105438232,4.29710578918457,5.757316589355469
,,133749.035908,0.1232144832611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15068.0,-0.01,-0.0,-1.0,-1.34,-1.71,-0.24,-11.1,47.86,-55.06,15078.0,0.0,0.0,-1.01,-1.52,-1.71,-0.24,-11.7,46.36,-54.31,1550,1602848269.2714,1234,0.456626040793755,-9.350938918133496,2.712776656670945,0.5242451119924977,1.3773315345574249,2.8818584602633095,0.36660443891568484,1.1489654192876704,2.7078778927042,1549,1602848269.2714,4321,0.4949321448802948,1.7890586853027344,2.421492576599121,3.0607542991638184,4.045578956604004,5.007988452911377
,,133749.055449,0.14275288581848145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15088.0,0.0,0.01,-1.02,-1.4,-1.71,-0.24,-10.8,48.31,-55.06,15098.0,-0.0,0.01,-1.01,-1.34,-1.71,-0.12,-10.2,47.11,-55.96,1552,1602848269.45573,1234,0.4885571681327503,-9.044590131446755,2.169297419221324,0.8051874478459007,1.0923279411532207,2.8225264202492135,0.17304258873867695,1.9776941115508073,2.1417334314506014,1551,1602848269.45573,4321,0.3590334951877594,1.6946450471878052,2.357177495956421,3.7540600299835205,4.0674872398376465,5.7803754806518555
,,133749.074904,0.16219830513000488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15108.0,-0.01,0.01,-1.0,-1.34,-1.71,-0.24,-11.25,48.16,-55.96,15118.0,-0.01,-0.0,-1.01,-1.59,-1.71,-0.12,-12.15,46.51,-54.46,1554,1602848269.65532,1234,0.7047309005093056,-9.383115043289985,2.8452375726485197,0.030575510001511708,1.4239796084652379,2.324325576135215,0.4528856119434307,1.3538522935028328,2.315031199763999,1553,1602848269.65532,4321,0.9898643493652344,1.7370147705078125,2.0959115028381348,3.645981550216675,4.502940654754639,5.573452472686768
