name,date,time,time_since_start,vicon_sequence,vicon_time_stamp,vicon_frame_id,vicon_child_frame_id,vicon_translation_x,vicon_translation_y,vicon_translation_z,vicon_rotation_x,vicon_rotation_y,vicon_rotation_z,vicon_rotation_w,int_imu_time_stamp,int_imu_acc_x,int_imu_acc_y,int_imu_acc_z,int_imu_gyro_x,int_imu_gyro_y,int_imu_gyro_z,int_imu_mag_x,int_imu_mag_y,int_imu_mag_z,ext_imu_time_stamp,ext_imu_acc_x,ext_imu_acc_y,ext_imu_acc_z,ext_imu_gyro_x,ext_imu_gyro_y,ext_imu_gyro_z,ext_imu_mag_x,ext_imu_mag_y,ext_imu_mag_z,dji_imu_sequence,dji_imu_time_stamp,dji_imu_frame_id,dji_imu_orientation_x,dji_imu_orientation_y,dji_imu_orientation_z,dji_imu_ang_vel_x,dji_imu_ang_vel_y,dji_imu_ang_vel_z,dji_imu_lin_acc_x,dji_imu_lin_acc_y,dji_imu_lin_acc_z,rc_sequence,rc_time_stamp,rc_frame_id,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_mode,rc_landing_gear
/home/wc18ny/Desktop/VibrationTest/data_formatlab.csv,20201015,90505.530145,6.866455078125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960747.0,0.04,0.01,-1.01,-1.28,-1.52,-0.24,15.15,30.31,-53.71,1960757.0,0.04,0.01,-1.02,-1.28,-1.59,-0.3,15.75,31.21,-52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.535175,0.005078554153442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960766.0,0.05,0.01,-1.01,-1.4,-1.52,-0.18,15.15,31.36,-54.46,1960776.0,0.04,0.0,-1.0,-1.28,-1.83,-0.18,15.9,30.01,-52.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.554619,0.0245058536529541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960785.0,0.04,0.0,-1.0,-1.34,-1.52,-0.18,15.3,32.26,-53.56,1960795.0,0.04,0.01,-1.02,-1.34,-1.71,-0.12,14.4,31.36,-53.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.574278,0.044165611267089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960804.0,0.04,0.0,-1.0,-1.4,-1.71,-0.3,16.05,31.96,-53.26,1960814.0,0.03,0.0,-1.0,-1.28,-1.71,0.0,14.4,32.86,-54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.592966,0.06285405158996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960823.0,0.04,0.01,-1.01,-1.4,-1.59,-0.18,14.85,31.36,-54.16,1960832.0,0.04,0.0,-1.01,-1.4,-1.71,-0.18,14.7,32.26,-52.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.61284,0.08272504806518555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960842.0,0.04,0.01,-1.01,-1.46,-1.83,-0.12,15.15,32.11,-52.36,1960851.0,0.04,0.01,-1.02,-1.4,-1.65,-0.12,15.15,32.11,-52.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.632652,0.10253667831420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960914.0,0.04,0.0,-1.01,-1.34,-1.65,-0.18,17.1,31.21,-50.86,1960923.0,0.04,-0.0,-1.0,-1.28,-1.65,-0.24,15.75,30.46,-52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.656849,0.1267850399017334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960933.0,0.04,0.0,-1.01,-1.22,-1.65,-0.18,14.4,32.86,-53.41,1960942.0,0.03,0.01,-1.01,-1.28,-1.65,-0.12,14.4,31.81,-52.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.675915,0.14583230018615723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960952.0,0.04,0.0,-1.0,-1.28,-1.59,-0.18,16.05,32.56,-54.31,1960961.0,0.03,0.0,-1.0,-1.34,-1.71,-0.37,16.05,32.56,-54.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.69607,0.16598844528198242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960970.0,0.03,0.01,-1.01,-1.4,-1.71,-0.18,15.9,31.06,-54.76,1960980.0,0.04,-0.0,-1.01,-1.28,-1.71,-0.18,15.0,30.91,-55.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.716407,0.1863255500793457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960989.0,0.05,-0.0,-1.01,-1.28,-1.59,-0.24,15.3,33.01,-52.51,1960999.0,0.04,0.0,-1.02,-1.28,-1.71,-0.18,15.9,31.81,-52.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.737322,0.20724129676818848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961008.0,0.04,0.0,-1.01,-1.28,-1.65,-0.18,15.75,32.26,-53.86,1961018.0,0.04,0.0,-1.01,-1.34,-1.71,-0.18,15.75,30.91,-54.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.753851,0.22374844551086426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961027.0,0.04,0.01,-1.01,-1.28,-1.71,-0.37,15.45,31.36,-53.11,1961037.0,0.04,0.0,-1.01,-1.46,-1.71,-0.24,15.45,31.81,-52.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.773148,0.24305033683776855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961100.0,0.04,0.01,-1.01,-1.34,-1.71,-0.24,15.75,32.56,-52.96,1961110.0,0.04,-0.0,-1.0,-1.4,-1.77,-0.18,16.8,31.51,-53.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,90505.793408,0.26329779624938965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961120.0,0.04,0.01,-1.0,-1.46,-1.65,-0.24,14.4,31.81,-54.46,1961130.0,0.04,0.01,-1.01,-1.4,-1.71,-0.18,15.0,31.21,-52.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
